P15003_1001	k141_1029	Burkholderia_virus_DC1	YP_006589986.1	-	44.2	1.8e-12	species	viruses	-	104	1589
P15003_1001	k141_1047	Red_clover_powdery_mildew-associated_totivirus_2	YP_009182175.1	-	32.7	5.2e-05	species	viruses	-	101	346
P15003_1001	k141_1100	Small_anellovirus_KR-CT-0040	ABL86421.1	-	69.3	2.6e-25	unclassified	viruses	-	88	986
P15003_1001	k141_1122	GB_virus_C	AAD31765.1	2	98.4	0.0e+00	Sub_Species	viruses	Flaviviridae->Pegivirus->Pegivirus_C->GB_virus_C	2910	9380
P15003_1001	k141_1159	Torque_teno_virus	AAG16248.1	-	69.2	2.9e-21	species	viruses	-	78	549
P15003_1001	k141_1180	Autographa_californica_nucleopolyhedrovirus	ANN45758.1	-	99.5	1.5e-107	unclassified	viruses	-	185	690
P15003_1001	k141_1183	Torque_teno_virus	BAA85662.1	-	53.9	3.1e-25	species	viruses	-	102	309
P15003_1001	k141_1215	Ralstonia_phage_phiRSL1	YP_001950049.2	-	38.0	4.4e-134	unclassified	viruses	-	952	201703
P15003_1001	k141_1233	Anelloviridae_sp.	AXQ66413.1	-	36.6	3.6e-89	species	viruses	-	576	3065
P15003_1001	k141_1239	Hubei_toti-like_virus_3	APG76078.1	-	55.4	2.8e-08	species	viruses	-	56	421
P15003_1001	k141_1290	Torque_teno_mini_virus_2	YP_003587884.1	-	39.4	2.7e-81	species	viruses	-	449	2965
P15003_1001	k141_133	Torque_teno_virus	BAA28158.1	-	46.4	2.9e-104	species	viruses	-	543	1704
P15003_1001	k141_136	Aeromonas_virus_31	YP_238848.1	-	40.8	7.8e-07	species	viruses	-	71	824
P15003_1001	k141_142	Burkholderia_phage_vB_BmuP_KL4	AWD90832.1	-	69.8	1.6e-30	species	viruses	-	86	592
P15003_1001	k141_1471	uncultured_virus	AQM32617.1	-	47.9	6.4e-04	species	viruses	-	48	292
P15003_1001	k141_1516	Hepatitis_GB_virus_B	CAD21956.1	-	100.0	7.3e-107	species	viruses	-	193	1539
P15003_1001	k141_1655	Enterobacteria_phage_27	ACO48878.1	-	100.0	1.6e-13	species	viruses	-	35	302
P15003_1001	k141_166	Escherichia_virus_T1	YP_003881.1	-	46.7	6.0e-04	species	viruses	-	75	465
P15003_1001	k141_17	Anelloviridae_sp.	AXQ66411.1	-	35.1	6.1e-04	species	viruses	-	114	363
P15003_1001	k141_1732	GB_virus_C	AAL05505.1	2	90.4	7.8e-16	Sub_Species	viruses	Flaviviridae->Pegivirus->Pegivirus_C->GB_virus_C	52	313
P15003_1001	k141_1829	Shigella_phage_SfII	YP_008318520.1	-	78.3	2.0e-26	species	viruses	-	83	374
P15003_1001	k141_270	Anelloviridae_sp.	AXQ66236.1	-	77.4	3.8e-04	species	viruses	-	31	389
P15003_1001	k141_29	Torque_teno_midi_virus_11	YP_009505782.1	-	36.2	2.1e-73	species	viruses	-	478	1755
P15003_1001	k141_346	Torque_teno_virus	BAA77426.1	-	51.7	1.0e-12	species	viruses	-	87	527
P15003_1001	k141_36	Torque_teno_virus	ANQ39343.1	-	34.9	2.8e-05	species	viruses	-	86	315
P15003_1001	k141_408	Ralstonia_phage_phiRSL1	YP_001949928.1	-	52.5	1.2e-22	unclassified	viruses	-	101	324
P15003_1001	k141_419	Anelloviridae_sp.	AXQ65718.1	-	58.3	5.4e-37	species	viruses	-	120	358
P15003_1001	k141_442	Torque_teno_mini_virus_3	YP_003587890.1	-	35.3	7.3e-08	species	viruses	-	116	497
P15003_1001	k141_461	Burkholderia_phage_vB_BmuP_KL4	AWD90796.1	-	52.9	2.4e-06	species	viruses	-	51	391
P15003_1001	k141_509	Burkholderia_phage_ST79	YP_008060518.1	-	82.3	4.3e-30	species	viruses	-	79	416
P15003_1001	k141_565	Anelloviridae_sp.	AXQ66595.1	-	32.5	7.9e-16	species	viruses	-	154	709
P15003_1001	k141_700	Anelloviridae_sp.	AXQ65621.1	-	45.9	1.7e-05	species	viruses	-	98	565
P15003_1001	k141_733	Torque_teno_virus	BAA78537.1	-	66.5	3.5e-84	species	viruses	-	221	1051
P15003_1001	k141_737	Torque_teno_virus	BAB19925.1	-	39.1	2.2e-07	species	viruses	-	110	387
